epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.42,1.63439,3.85929,1.27053,0.58432,0.48108,0.53999,0.32624,1.45815,4.04641,1.33046,0.0671667,0.00033165,0.00033165
2,201.99,1.58563,2.78045,1.25475,0.67972,0.58101,0.65858,0.39536,1.50592,2.93684,1.33778,0.0341665,0.000664821,0.000664821
3,301.579,1.58112,2.59299,1.24997,0.62344,0.66745,0.73314,0.4661,1.43472,2.23744,1.27633,0.00116569,0.000997341,0.000997341
4,400.503,1.53981,2.36667,1.22218,0.66611,0.634,0.73342,0.44724,1.46177,2.48162,1.3127,0.000997803,0.000997803,0.000997803
5,498.33,1.51905,2.32556,1.211,0.73519,0.62788,0.70614,0.41382,1.46709,2.20296,1.3252,0.000996097,0.000996097,0.000996097
6,601.862,1.49097,2.11084,1.19629,0.7388,0.81637,0.85443,0.5742,1.3061,1.7534,1.19336,0.000993906,0.000993906,0.000993906
7,699.475,1.4545,2.00525,1.17557,0.77386,0.78314,0.85461,0.57387,1.31406,1.75758,1.20698,0.000991232,0.000991232,0.000991232
8,802.917,1.42932,1.94719,1.15795,0.80635,0.81908,0.88042,0.57709,1.30877,1.63431,1.21393,0.000988079,0.000988079,0.000988079
9,901.157,1.41052,1.88397,1.14869,0.93537,0.86343,0.93628,0.66188,1.24983,1.41127,1.15436,0.000984449,0.000984449,0.000984449
10,998.765,1.38859,1.80101,1.14586,0.89196,0.82532,0.92506,0.6464,1.23284,1.39247,1.15147,0.000980345,0.000980345,0.000980345
11,1096.03,1.39744,1.80973,1.14332,0.84369,0.87186,0.92734,0.65513,1.23269,1.41482,1.14451,0.000975773,0.000975773,0.000975773
12,1199.18,1.37307,1.71652,1.1217,0.8828,0.89655,0.92593,0.6535,1.23145,1.28563,1.13341,0.000970736,0.000970736,0.000970736
13,1296.21,1.35606,1.68535,1.12182,0.93203,0.8778,0.94566,0.6916,1.20919,1.3163,1.12244,0.000965239,0.000965239,0.000965239
14,1399.28,1.3436,1.65131,1.11914,0.90091,0.86845,0.93308,0.65643,1.21564,1.35738,1.1355,0.000959289,0.000959289,0.000959289
15,1496.01,1.33763,1.61453,1.10501,0.88057,0.89794,0.93994,0.67491,1.18093,1.26044,1.11476,0.000952889,0.000952889,0.000952889
16,1592.4,1.32419,1.58591,1.10484,0.93411,0.89007,0.94729,0.67091,1.20893,1.26828,1.13417,0.000946048,0.000946048,0.000946048
17,1689.01,1.31021,1.53432,1.09945,0.90571,0.88338,0.9476,0.69075,1.17749,1.2064,1.10547,0.000938772,0.000938772,0.000938772
