epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,427.164,2.03991,5.39073,1.50788,0.04796,0.09534,0.03284,0.01416,2.26959,173.584,2.01695,0.0701435,0.00331738,0.00331738
2,945.222,2.04464,4.3431,1.58596,0.10278,0.05653,0.01871,0.00932,2.5294,113.197,2.22601,0.0399824,0.00648959,0.00648959
3,1588.3,1.98585,4.02415,1.54764,0.36187,0.03142,0.02314,0.01092,2.35005,6.9149,1.95781,0.00919968,0.00904019,0.00904019
4,2423.9,1.90681,3.57477,1.49885,0.3137,0.08842,0.10211,0.04829,1.93718,4.57838,1.63068,0.00795954,0.00795954,0.00795954
5,3498.6,1.824,3.16071,1.44244,0.49766,0.30921,0.27432,0.1533,1.73834,3.20971,1.49342,0.00657963,0.00657963,0.00657963
6,4545.82,1.74792,2.84488,1.39208,0.4478,0.46428,0.41972,0.22651,1.91966,4.19803,1.61152,0.00505,0.00505,0.00505
7,5677.67,1.66137,2.54857,1.33366,0.46295,0.50384,0.48772,0.28519,1.60836,2.64901,1.39825,0.00352037,0.00352037,0.00352037
8,7272.23,1.60994,2.3173,1.29558,0.66152,0.51493,0.56657,0.35674,1.49572,2.26482,1.3062,0.00214046,0.00214046,0.00214046
9,8944.04,1.55434,2.13611,1.26557,0.6564,0.72952,0.74865,0.47966,1.4085,1.94191,1.26259,0.00104537,0.00104537,0.00104537
10,9874.18,1.50753,2.00325,1.24937,0.71186,0.72953,0.78307,0.5296,1.39757,1.8561,1.24792,0.00034227,0.00034227,0.00034227
