epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.13,2.64485,3.99079,2.55314,0,0,0,0,3.9997,1813.72,4.28146,0.0702143,0.00330952,0.00330952
2,523.72,2.58993,3.72014,2.52216,0.00022,0.03459,0.00012,2e-05,3.13084,5.62707,3.44041,0.0401321,0.00656065,0.00656065
3,806.124,2.5441,3.71234,2.48263,0.00109,0.20755,0.0007,0.00023,2.90151,4.40023,3.00215,0.00996737,0.00972928,0.00972928
4,1087.37,2.5327,3.64999,2.45435,0.00106,0.22327,0.00075,0.00024,2.72994,4.77457,2.82683,0.00962875,0.00962875,0.00962875
5,1380.91,2.50728,3.62726,2.43668,0.0014,0.17296,0.00109,0.00032,2.54798,4.84138,3.19254,0.009505,0.009505,0.009505
6,1744.36,2.49161,3.59523,2.46857,0.00178,0.18553,0.00226,0.0006,2.70077,3.77518,2.9375,0.00938125,0.00938125,0.00938125
7,2105.02,2.47842,3.60472,2.39221,0.00327,0.28931,0.00358,0.001,2.727,4.05542,2.78176,0.0092575,0.0092575,0.0092575
8,2499.03,2.45596,3.54301,2.38107,0.00182,0.30818,0.00212,0.00058,2.76793,3.66229,2.78561,0.00913375,0.00913375,0.00913375
9,2891.28,2.47082,3.56058,2.36054,0.00192,0.21384,0.00189,0.00055,2.67359,3.85746,2.9319,0.00901,0.00901,0.00901
10,3312.94,2.45041,3.52513,2.38861,0.00297,0.44654,0.00285,0.00076,2.75638,3.87249,3.04511,0.00888625,0.00888625,0.00888625
11,3685,2.45327,3.5503,2.38522,0.00181,0.41195,0.00254,0.0005,2.89963,4.3232,2.91287,0.0087625,0.0087625,0.0087625
12,4081.1,2.46417,3.50611,2.39488,0.00271,0.62264,0.0051,0.00123,2.69486,3.97221,2.82578,0.00863875,0.00863875,0.00863875
13,4547.76,2.4392,3.50203,2.3865,0.00196,0.44025,0.00432,0.00096,2.62355,3.91298,2.95749,0.008515,0.008515,0.008515
14,4990.15,2.43891,3.49757,2.37212,0.00258,0.73899,0.00632,0.00151,2.64066,3.6325,2.89543,0.00839125,0.00839125,0.00839125
15,5443.68,2.43098,3.52416,2.37899,0.00246,0.71698,0.00705,0.00172,2.67014,3.75282,3.01829,0.0082675,0.0082675,0.0082675
16,5901.54,2.43256,3.47744,2.35804,0.00275,0.6195,0.01106,0.00329,2.81111,3.77125,2.95545,0.00814375,0.00814375,0.00814375
17,6408.97,2.40814,3.48173,2.37645,0.00164,0.3239,0.00358,0.0009,2.71438,3.60042,2.99664,0.00802,0.00802,0.00802
18,6894.22,2.41624,3.5069,2.3883,0.00201,0.80818,0.01248,0.00323,2.6967,3.53383,3.02489,0.00789625,0.00789625,0.00789625
19,7345.19,2.41913,3.46298,2.3701,0.002,0.83648,0.0082,0.0018,2.68486,3.6015,2.95752,0.0077725,0.0077725,0.0077725
20,7916.2,2.39636,3.46848,2.35501,0.00168,0.55031,0.0054,0.00139,2.67227,3.5822,3.01599,0.00764875,0.00764875,0.00764875
21,8473.36,2.42535,3.43505,2.34773,0.00161,0.66038,0.00792,0.00172,2.70542,3.60784,2.88841,0.007525,0.007525,0.007525
22,9014.56,2.40153,3.45027,2.36641,0.00178,0.83019,0.01166,0.00264,2.66307,3.58006,2.78448,0.00740125,0.00740125,0.00740125
23,9574.76,2.40636,3.42993,2.3405,0.00174,0.82075,0.00877,0.00214,2.62671,3.58926,2.82666,0.0072775,0.0072775,0.0072775
24,10064.2,2.41044,3.40951,2.3633,0.00195,0.8805,0.01005,0.0025,2.66041,3.49394,2.99549,0.00715375,0.00715375,0.00715375
25,10544.2,2.40048,3.40396,2.3484,0.00205,0.87736,0.01035,0.00323,2.6796,3.62986,2.87075,0.00703,0.00703,0.00703
26,11039.9,2.3868,3.40391,2.36589,0.00165,0.66667,0.00602,0.00151,2.70758,3.55748,3.04401,0.00690625,0.00690625,0.00690625
27,11503.9,2.39066,3.42052,2.32238,0.00216,0.85849,0.00744,0.00207,2.70411,3.54,2.88044,0.0067825,0.0067825,0.0067825
28,11932.7,2.3809,3.38499,2.3409,0.00233,0.84277,0.01248,0.00428,2.69581,3.57802,2.99575,0.00665875,0.00665875,0.00665875
29,12365.7,2.38252,3.42646,2.35798,0.00204,0.86478,0.00977,0.00235,2.67074,3.52089,2.85672,0.006535,0.006535,0.006535
30,12774,2.35992,3.40276,2.36027,0.00265,0.84277,0.00977,0.00266,2.70586,3.46751,2.93003,0.00641125,0.00641125,0.00641125
